,timestamp,open,high,low,close,vol
0,2025-03-12 10:35:00,0.16557,0.16601,0.16546,0.16595,8204.21
1,2025-03-12 10:40:00,0.16595,0.16595,0.16539,0.16587,6539.07
2,2025-03-12 10:45:00,0.16587,0.16667,0.16586,0.16656,10941.35
3,2025-03-12 10:50:00,0.16654,0.1666,0.16616,0.16637,7001.35
4,2025-03-12 10:55:00,0.16638,0.16674,0.16623,0.16667,5116.67
5,2025-03-12 11:00:00,0.16667,0.16759,0.16667,0.1675,18874.09
6,2025-03-12 11:05:00,0.16751,0.16754,0.16701,0.16735,7586.57
7,2025-03-12 11:10:00,0.16736,0.16782,0.16722,0.16773,9329.73
8,2025-03-12 11:15:00,0.16773,0.16816,0.1673,0.16813,15437.9
9,2025-03-12 11:20:00,0.16812,0.16845,0.16782,0.16828,12449.5
10,2025-03-12 11:25:00,0.16828,0.16834,0.1678,0.16809,10063.74
11,2025-03-12 11:30:00,0.16808,0.16829,0.1676,0.1682,13794.58
12,2025-03-12 11:35:00,0.16819,0.16824,0.16773,0.16782,7783.67
13,2025-03-12 11:40:00,0.16783,0.16808,0.16765,0.16768,5770.16
14,2025-03-12 11:45:00,0.16769,0.168,0.16726,0.16784,9100.55
15,2025-03-12 11:50:00,0.16785,0.16867,0.16783,0.16846,9720.62
16,2025-03-12 11:55:00,0.16846,0.16879,0.16834,0.16852,9030.42
17,2025-03-12 12:00:00,0.16852,0.16918,0.16849,0.16912,21507.13
18,2025-03-12 12:05:00,0.16912,0.16956,0.16824,0.16824,21947.38
19,2025-03-12 12:10:00,0.16823,0.16824,0.16769,0.16783,19506.31
20,2025-03-12 12:15:00,0.16783,0.16862,0.16783,0.16832,13672.75
21,2025-03-12 12:20:00,0.16835,0.16925,0.16829,0.1689,15389.27
22,2025-03-12 12:25:00,0.1689,0.17137,0.16825,0.17055,68538.8
23,2025-03-12 12:30:00,0.17056,0.17422,0.17054,0.17206,227690.69
24,2025-03-12 12:35:00,0.17205,0.17348,0.17089,0.17089,74533.26
25,2025-03-12 12:40:00,0.1709,0.1718,0.17084,0.17107,39443.31
26,2025-03-12 12:45:00,0.17106,0.1714,0.17026,0.1709,31213.65
27,2025-03-12 12:50:00,0.17091,0.17174,0.17064,0.17113,29539.03
28,2025-03-12 12:55:00,0.17113,0.17214,0.17113,0.17204,14595.37
29,2025-03-12 13:00:00,0.17204,0.17288,0.17149,0.17185,29255.23
30,2025-03-12 13:05:00,0.17185,0.17192,0.17103,0.17156,15678.86
