entry,exit,direction,entry_price,exit_price,pnl,stop_loss,take_profit
2024-12-15 18:15:00,2024-12-15 19:25:00,long,0.40200385045158454,0.40444,50.569854515224904,False,True
2024-12-15 20:05:00,2024-12-15 23:05:00,long,0.40170035610344323,0.40453,60.681708082560476,False,True
2024-12-15 23:25:00,2024-12-15 23:30:00,short,0.4114593748143194,0.40713,96.23702511726574,False,True
2024-12-16 02:20:00,2024-12-16 16:35:00,long,0.40635135301069386,0.40901,56.460457348498736,False,True
2024-12-16 19:10:00,2024-12-17 13:45:00,long,0.40569538606117106,0.40894,71.64152697136294,False,True
2024-12-17 14:35:00,2024-12-17 14:40:00,long,0.4018867006449046,0.40518,74.13619738930849,False,True
2024-12-17 22:45:00,2024-12-18 20:05:00,long,0.3950581494834814,0.37167,-624.5440031984956,True,False
2024-12-18 23:00:00,2024-12-18 23:05:00,long,0.35657902070250636,0.35954,71.16876197161699,False,True
2024-12-19 01:55:00,2024-12-19 02:55:00,long,0.35329716980283965,0.35582,60.242226821925385,False,True
2024-12-19 08:05:00,2024-12-19 10:15:00,long,0.3604051239125425,0.36293,59.2483514076186,False,True
2024-12-19 14:40:00,2024-12-19 17:35:00,long,0.36039942181076196,0.3416,-527.4072561807542,True,False
2024-12-19 17:45:00,2024-12-19 17:50:00,long,0.3334714262399947,0.33689,86.85203897702024,False,True
2024-12-19 19:45:00,2024-12-19 19:50:00,long,0.30475164175014724,0.30889,119.12934419601277,False,True
2024-12-19 19:55:00,2024-12-19 20:00:00,long,0.3028662280869416,0.31369,332.9524741378249,False,True
2024-12-20 10:10:00,2024-12-20 10:15:00,long,0.28295030274001853,0.28818,173.2990689442616,False,True
2024-12-20 11:20:00,2024-12-20 11:25:00,long,0.27444253804526636,0.27665,71.00071196312551,False,True
2024-12-20 11:35:00,2024-12-20 11:40:00,long,0.266349815579699,0.27,128.9077931972184,False,True
2024-12-20 15:15:00,2024-12-20 15:20:00,short,0.3075181153359893,0.30531,63.54679569049246,False,True
2024-12-20 19:15:00,2024-12-20 20:00:00,short,0.3169041929701185,0.31459,65.17004500549268,False,True
