timestamp,open,high,low,close,vol,source_file
2025-03-09 16:00:00,0.17651,0.17746,0.17649,0.17745,8917.03,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:01:00,0.1764,0.17731,0.17639,0.1773,7754.71,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:02:00,0.17717,0.17752,0.17716,0.17751,7349.570000000001,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:03:00,0.17653,0.17735,0.17652,0.17734,4141.08,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:04:00,0.17542,0.17653,0.17537,0.17653,28281.03,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:05:00,0.1752,0.17595,0.17519,0.17594,12676.82,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:06:00,0.17514,0.17571,0.17513,0.1757,16077.51,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:07:00,0.17529,0.1756,0.17528,0.17559,5491.89,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:08:00,0.17432,0.17535,0.17431,0.17534,39141.26,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:09:00,0.17504,0.17605,0.17504,0.17604,14668.630000000001,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:10:00,0.17601,0.17704,0.176,0.17703,14889.0,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:11:00,0.17699,0.17772,0.17699,0.17771,19787.83,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:12:00,0.17703,0.1778,0.17701,0.17779,13140.39,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:13:00,0.17722,0.17781,0.17721,0.1778,7086.54,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:14:00,0.17718,0.17757,0.17718,0.17756,9746.49,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:15:00,0.17717,0.17765,0.17716,0.17762,7203.36,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:16:00,0.17751,0.17804,0.1775,0.178,9936.51,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:17:00,0.17696,0.1777,0.17695,0.1777,5617.23,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:18:00,0.17682,0.17722,0.17681,0.17722,6815.650000000001,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:19:00,0.17598,0.17692,0.17597,0.17692,14074.380000000001,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:20:00,0.17563,0.17643,0.17562,0.17642,8761.45,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:21:00,0.17495,0.17604,0.17489,0.17604,11787.68,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:22:00,0.1748,0.17574,0.17479,0.17573,8539.68,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:23:00,0.17495,0.17552,0.17494,0.17551,10976.890000000001,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:24:00,0.17472,0.17548,0.17471,0.17548,11297.48,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
2025-03-09 16:25:00,0.17488,0.1754,0.17488,0.17537,5899.27,DOGE-USDT-SWAP-aggtrades-2025-03-10.csv
